t_s,ch1_div,ch2_div
4.00557,3.7147,0.8895
4.01273,3.7011,0.8805
4.01988,3.7458,0.8911
4.02704,3.6660,0.8813
4.03419,3.7084,0.8718
4.04134,3.6796,0.8725
4.04850,3.6730,0.8767
4.05565,3.6258,0.8896
4.06281,3.5763,0.8788
4.06996,3.5640,0.8724
4.07711,3.5606,0.8729
4.08427,3.5310,0.8755
4.09142,3.5197,0.8828
4.09858,3.4837,0.8814
4.10573,3.4542,0.8787
4.11289,3.4443,0.8709
4.12004,3.4542,0.8817
4.12719,3.4167,0.8828
4.13435,3.3990,0.8750
4.14150,3.3874,0.8746
4.14866,3.3714,0.8946
4.15581,3.3538,0.8813
4.16296,3.3300,0.8884
4.17012,3.3172,0.8729
4.17727,3.3025,0.8829
4.18443,3.2847,0.8749
4.19158,3.2460,0.8775
4.19874,3.2394,0.8882
4.20589,3.2177,0.8821
4.21304,3.1758,0.8909
4.22020,3.1645,0.8871
4.22735,3.1395,0.8849
4.23451,3.1212,0.8769
4.24166,3.1174,0.8867
4.24881,3.0936,0.8867
4.25597,3.0818,0.9064
4.26312,3.0483,0.8985
4.27028,3.0640,0.8956
4.27743,3.0540,0.8931
4.28459,3.0089,0.9005
4.29174,3.0014,0.8997
4.29889,2.9949,0.8987
4.30605,2.9846,0.9103
4.31320,2.9376,0.9043
4.32036,2.9314,0.9110
4.32751,2.9108,0.9025
4.33466,2.8905,0.9052
4.34182,2.8569,0.9145
4.34897,2.8399,0.9253
4.35613,2.8204,0.9229
4.36328,2.8079,0.9229
4.37043,2.7724,0.9193
4.37759,2.7606,0.9299
4.38474,2.7363,0.9412
4.39190,2.7305,0.9464
4.39905,2.7196,0.9379
4.40621,2.6878,0.9458
4.41336,2.6863,0.9483
4.42051,2.6799,0.9586
4.42767,2.6478,0.9524
4.43482,2.6111,0.9458
4.44198,2.6025,0.9458
4.44913,2.5891,0.9448
4.45628,2.5586,0.9504
4.46344,2.5496,0.9714
4.47059,2.5246,0.9717
4.47775,2.5037,0.9653
4.48490,2.4804,0.9661
4.49206,2.4678,0.9676
4.49921,2.4374,0.9691
4.50636,2.4343,0.9726
4.51352,2.4236,0.9793
4.52067,2.4093,0.9834
4.52783,2.3890,0.9987
4.53498,2.3645,1.0089
4.54213,2.3630,1.0010
4.54929,2.3291,1.0013
4.55644,2.3291,1.0026
4.56360,2.2785,1.0043
4.57075,2.2762,1.0159
4.57791,2.2436,1.0073
4.58506,2.2345,1.0460
4.59221,2.1970,1.8208
4.59937,2.1813,3.0834
4.60652,2.1651,1.9189
4.61368,2.1498,1.0955
4.62083,2.1360,1.0675
4.62798,2.1202,1.0187
4.63514,2.1093,1.0148
4.64229,2.0828,1.0089
4.64945,2.0729,1.0030
4.65660,2.0640,1.0001
4.66376,2.0256,1.0016
4.67091,2.0235,1.0026
4.67806,2.0023,0.9876
4.68522,1.9766,0.9926
4.69237,1.9547,1.0010
4.69953,1.9275,0.9953
4.70668,1.9094,0.9832
4.71383,1.9133,0.9879
4.72099,1.9015,0.9813
4.72814,1.8857,0.9894
4.73530,1.8533,0.9791
4.74245,1.8418,0.9780
4.74960,1.8163,0.9754
4.75676,1.8023,0.9734
4.76391,1.4414,0.9676
4.77107,1.6464,0.9655
4.77822,1.7508,0.9686
4.78538,1.7123,0.9710
4.79253,1.7123,0.9656
4.79968,1.7016,0.9582
4.80684,1.6768,0.9507
4.81399,1.6630,0.9488
4.82115,1.6413,0.9557
4.82830,1.6320,0.9517
4.83545,1.5990,0.9419
4.84261,1.5955,0.9379
4.84976,1.5821,0.9399
4.85692,1.5625,0.9399
4.86407,1.5398,0.9399
4.87123,1.5258,0.9379
4.87838,1.5124,0.9379
