quantity,key,value,unit,status
wide_dchi2,8|6,94.408,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|7,111.009,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|8,144.476,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|9,197.542,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|10,272.094,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|11,371.256,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|12,498.137,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|13,656.265,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|14,848.880,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|15,1080.119,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|16,1354.237,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|17,1675.712,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|18,2049.754,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|19,2481.822,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,8|20,2978.072,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|0,317.765,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|1,266.949,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|2,221.388,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|3,183.703,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|4,154.622,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|5,136.327,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|6,130.392,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|7,139.170,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|8,165.200,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|9,210.512,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|10,278.166,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|11,371.161,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|12,492.625,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|13,646.052,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|14,835.152,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|15,1064.091,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|16,1337.353,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|17,1659.746,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|18,2036.673,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|19,2474.111,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,9|20,3001.988,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|0,423.046,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
