file,stage,role,peak,T,power_mW,bracket,trimmed,trim_start_ms,trim_end_ms,trim_reason,removed,removed_reason,status
rulers_p/4121nm_eom_after3.csv,qc,ruler_p,4121,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4121nm_eom_after4.csv,qc,ruler_p,4121,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4121nm_eom_after5.csv,qc,ruler_p,4121,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4121nm_eom_after6.csv,qc,ruler_p,4121,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4121nm_eom_before1.csv,qc,ruler_p,4121,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4121nm_eom_before2.csv,qc,ruler_p,4121,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4121nm_eom_before3.csv,qc,ruler_p,4121,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4121nm_eom_before4.csv,qc,ruler_p,4121,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4121nm_eom_before5.csv,qc,ruler_p,4121,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_after_1.csv,qc,ruler_p,4154,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_after_2.csv,qc,ruler_p,4154,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_after_3.csv,qc,ruler_p,4154,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_after_4.csv,qc,ruler_p,4154,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_after_5.csv,qc,ruler_p,4154,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_before_1.csv,qc,ruler_p,4154,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_before_2.csv,qc,ruler_p,4154,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_before_3.csv,qc,ruler_p,4154,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_before_4.csv,qc,ruler_p,4154,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_before_5.csv,qc,ruler_p,4154,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_before_6.csv,qc,ruler_p,4154,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4154nm_eom_before_7.csv,qc,ruler_p,4154,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_after1.csv,qc,ruler_p,4192,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_after2.csv,qc,ruler_p,4192,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_after3.csv,qc,ruler_p,4192,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_after5.csv,qc,ruler_p,4192,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_after6.csv,qc,ruler_p,4192,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_before1.csv,qc,ruler_p,4192,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_before2.csv,qc,ruler_p,4192,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_before3.csv,qc,ruler_p,4192,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_before4.csv,qc,ruler_p,4192,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_before5.csv,qc,ruler_p,4192,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4192nm_eom_before6.csv,qc,ruler_p,4192,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_after1.csv,qc,ruler_p,4207,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_after2.csv,qc,ruler_p,4207,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_after3.csv,qc,ruler_p,4207,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_after4.csv,qc,ruler_p,4207,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_after5.csv,qc,ruler_p,4207,130,,after,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_before1.csv,qc,ruler_p,4207,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_before2.csv,qc,ruler_p,4207,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_before3.csv,qc,ruler_p,4207,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_before4.csv,qc,ruler_p,4207,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_p/4207nm_eom_before5.csv,qc,ruler_p,4207,130,,before,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
