file,session,peak,T,bracket,repeat_idx,delta_ms,delta_err_ms,rate_MHzms,width_ms,chi2_red,init_fallback,acf_score,h_m3,h_m2,h_m1,h_0,h_p1,h_p2,h_p3,fit_rms,resid_norm,n_fitted,t0_ms,top3_ok,top3_marginal,rank_m1,rank_p1,n_railed,verdict,top3_gated,reindex_action,reindex_j,excised_k,n_refits,delta_advised_ms,excluded_advised,excluded,excluded_reason,trimmed,trim_start_ms,trim_end_ms,trim_reason,outlier,outlier_reason,status
rulers_p/4207nm_eom_before2.csv,P,4207,130,before,2,147.0762669752787,0.5843925364269408,0.04249495944203241,60.50094065500271,0.7776272995652105,False,0.1883577868259067,0.0006350887046155344,0.03091254807399251,0.14433600551334239,0.050864742371797,0.1384707863168667,0.03372111139069347,0.0046207235451840795,0.006845608475215131,0.8791809834834328,1999,435.63525085794873,True,False,1,2,0,PASS,False,none,0,,0,147.0762669752787,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4207nm_eom_before3.csv,P,4207,130,before,3,146.91029301530486,0.5097755935360503,0.04254296871730346,58.590379140303355,0.793921229666774,False,0.47863221072653084,0.005903214576985809,0.042494483727982396,0.1882953626254352,0.14981193008433005,0.16817100765010226,0.03335908802667747,0.004355144282189811,0.007804627261349596,0.8883441446498124,1999,375.51118614061795,True,False,1,2,0,PASS,False,none,0,,0,146.91029301530486,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4207nm_eom_before4.csv,P,4207,130,before,4,146.79714930654924,0.4917831858528434,0.04257575865419862,55.8944646946503,0.8474076797082605,False,0.5195339850621362,0.0033220145798422422,0.03446672339002594,0.19578759837326193,0.19451727037415048,0.1900199622121851,0.036610592395674504,0.0023003964099014194,0.008177958761435662,0.917780306029294,1999,391.45867761975103,True,False,1,3,0,PASS,False,none,0,,0,146.79714930654924,False,False,,False,nan,nan,,0,,CALIB
rulers_p/4207nm_eom_before5.csv,P,4207,130,before,5,145.40261750931737,0.37449081462178474,0.04298409552083546,56.39312113612849,1.0531555250250277,False,0.49542175194089594,0.04186817327941339,9.839252837566827e-26,0.03260013766321941,0.18359799754075454,0.1576108045892015,0.20109234888042554,0.04329141062862186,0.008763763988637978,1.023148782351706,1999,368.6115204148093,False,False,6,3,1,FAIL,False,none,0,,5,145.40261750931737,True,False,top_three_unrecoverable,False,nan,nan,,0,,CALIB
rulers_t/4121nm_eom_110c1.csv,T,4121,110,,1,147.35983394747865,1.473208323738438,0.04241318568686497,55.41064053077137,0.9026489140466566,False,0.4180352021850296,0.0008857049547794085,0.005356545227005044,0.02454504132952775,0.016488551412929348,0.02233918577070307,0.004614175625166197,0.0006161050096389265,0.002915609912057987,0.9472238492364815,2000,186.47572293048785,True,False,1,2,0,PASS,False,none,0,,0,147.35983394747865,False,False,,False,nan,nan,,0,,CALIB
rulers_t/4121nm_eom_110c2.csv,T,4121,110,,2,147.49250596572372,1.4845405737227586,0.04237503430481043,55.36763910785088,0.7959272234939985,False,0.3949978459062737,0.0010236673752107425,0.00036218032292482217,0.004168253997765859,0.02760103046118332,0.016309043566827015,0.023823696388474286,0.004321274528159238,0.0028566630521138087,0.8894670652435842,2000,99.94682695089517,False,False,5,3,0,FAIL,False,phase_shift,1,,4,147.4448927051314,False,False,,False,nan,nan,,0,,CALIB
rulers_t/4121nm_eom_110c3.csv,T,4121,110,,3,147.2674752139359,1.412899559790071,0.04243978509796957,54.602070118463786,0.8804028179307535,False,0.3920250469306513,0.00038126730538472957,0.004509760087790594,0.0247292129765593,0.01613013338871972,0.02607186559406369,0.005324132873979084,0.0009386558302835557,0.0029501049735158316,0.9354787015336955,2000,216.57822656874345,True,False,2,1,0,PASS,False,none,0,,0,147.2674752139359,False,False,,False,nan,nan,,0,,CALIB
rulers_t/4121nm_eom_110c4.csv,T,4121,110,,4,145.9821519169932,1.4008818047386655,0.04281345300043123,54.45604909310618,0.8389365542142386,False,0.37035049282774385,0.0016791739896502352,0.0006339511986808242,0.004511426901767089,0.02614104542087637,0.015196838962470595,0.02637600067062692,0.005169941807629628,0.0028635050792509514,0.9131828595023853,2000,102.33646386564007,False,False,5,3,0,FAIL,False,phase_shift,1,,4,145.93864970019376,False,False,,False,nan,nan,,1,spacing_outlier,CALIB
rulers_t/4121nm_eom_110c5.csv,T,4121,110,,5,147.27764313682704,1.5301145416277309,0.04243685509139694,54.88753147751952,0.8602564589729695,False,0.3840444438811508,7.473399734786896e-13,0.0038127967639454154,0.02371211905694616,0.014580892769427853,0.023796984569178375,0.004366049194422911,0.0013158298737793875,0.0028399065911060553,0.9247134259970121,2000,245.1115767445993,True,False,2,1,1,PASS,False,none,0,,0,147.27764313682704,False,False,,False,nan,nan,,0,,CALIB
rulers_t/4121nm_eom_070c1.csv,T,4121,70,,1,145.99258903535812,6.342911209232357,0.042810392234953136,63.46025621845425,0.7784780909751526,False,0.26601238729955107,0.0002667642066096996,0.0008512197623172944,0.0032729601184520655,0.001796157648269742,0.0035662367572014994,0.0009070456476152867,0.0001745680789877642,0.0016285505539113663,0.879663130084069,2000,20.17156469814404,True,False,2,1,0,PASS,False,none,0,,0,145.99258903535812,False,False,,False,nan,nan,,0,,CALIB
